Date,Slug,Usage,BYOK Usage,Requests,Prompt Tokens,Completion Tokens,Reasoning Tokens
"2026-02-11 00:00:00","google/gemini-2.5-flash","0.021906","0","1","4271","250","0"
"2026-02-11 00:00:00","anthropic/claude-opus-4.6","0.13954","0","3","13278","526","0"
"2026-02-11 00:00:00","anthropic/claude-haiku-4.5","0.332051","0","22","89106","589","0"
"2026-02-11 00:00:00","anthropic/claude-sonnet-4.5","69.565896","0","273","17005156","47132","17181"
"2026-02-11 00:00:00","moonshotai/kimi-k2.5","0.454986","0","20","85188","3800","4488"
"2026-02-10 00:00:00","anthropic/claude-opus-4.6","0.59831","0","8","110982","1736","288"
"2026-02-10 00:00:00","anthropic/claude-sonnet-4.5","2.690792","0","29","533999","7479","3953"
"2026-02-10 00:00:00","google/gemini-2.5-flash","0.826573","0","42","255121","4354","1352"
